"ElapsedMs","WallClock","Handle","Class","Flags"
"5.8","15:50:52.224","0x1EF211D3","unknown:0x1EF211D3","1"
"409.9","15:50:52.628","0x10007","WAIT","1"
"440.6","15:50:52.659","0x1EF211D3","unknown:0x1EF211D3","1"
"5426.6","15:50:57.645","0x10007","WAIT","1"
"5440.6","15:50:57.659","0x1EF211D3","unknown:0x1EF211D3","1"
"10426.6","15:51:02.645","0x10007","WAIT","1"
"10454.1","15:51:02.672","0x1EF211D3","unknown:0x1EF211D3","1"
"35521.1","15:51:27.739","0x10007","WAIT","1"
"35532.6","15:51:27.751","0x1EF211D3","unknown:0x1EF211D3","1"
"45547.7","15:51:37.766","0x10007","WAIT","1"
"45564.7","15:51:37.783","0x1EF211D3","unknown:0x1EF211D3","1"
"64642.1","15:51:56.860","0x10003","ARROW","1"
"65095.3","15:51:57.313","0x1EF211D3","unknown:0x1EF211D3","1"
"65595.1","15:51:57.813","0x10007","WAIT","1"
"65626.2","15:51:57.844","0x1EF211D3","unknown:0x1EF211D3","1"
"66146.2","15:51:58.364","0x10007","WAIT","1"
"66157.2","15:51:58.375","0x1EF211D3","unknown:0x1EF211D3","1"
"68158.6","15:52:00.377","0x10007","WAIT","1"
"68178.1","15:52:00.396","0x1EF211D3","unknown:0x1EF211D3","1"
"69175.9","15:52:01.394","0x10007","WAIT","1"
"69190.4","15:52:01.408","0x1EF211D3","unknown:0x1EF211D3","1"
"70191.2","15:52:02.409","0x10007","WAIT","1"
"70223.7","15:52:02.442","0x1EF211D3","unknown:0x1EF211D3","1"
"71209.1","15:52:03.427","0x10007","WAIT","1"
"71224.6","15:52:03.443","0x1EF211D3","unknown:0x1EF211D3","1"
"75251.9","15:52:07.470","0x10007","WAIT","1"
"75270.9","15:52:07.489","0x1EF211D3","unknown:0x1EF211D3","1"
