StartTimer,ElapsedMs,FreshRecords,AggregateReadMs,FlushTools
57052.62890625,15.625,7,3.90625,2
57057.6328125,15.625,7,7.8125,2
57062.64453125,15.625,7,3.90625,2
57067.66796875,15.625,7,3.90625,2
57072.68359375,15.625,7,3.90625,2
57077.69921875,15.625,7,7.8125,2
57082.71875,11.71875,7,7.8125,2
57087.7265625,11.71875,7,7.8125,2
57092.74609375,15.625,7,3.90625,2
57097.76171875,15.625,7,3.90625,2
57102.77734375,15.625,7,3.90625,2
57117.80859375,19.53125,7,3.90625,2
57118.3515625,11.71875,4,3.90625,1
57119.36328125,15.625,7,7.8125,2
57120.375,15.625,7,7.8125,2
57121.390625,15.625,7,3.90625,2
57122.40625,15.625,7,7.8125,2
57123.4140625,11.71875,7,7.8125,2
57124.4375,23.4375,7,11.71875,2
57125.4453125,11.71875,7,3.90625,2
57126.4609375,15.625,7,3.90625,2
57127.46875,15.625,7,3.90625,2
57132.47265625,15.625,7,3.90625,2
57137.48828125,15.625,7,3.90625,2
