"ElapsedMs","WallClock","Handle","Class","Flags"
"5.4","15:43:28.500","0x1CB2233F","unknown:0x1CB2233F","1"
"9439.7","15:43:37.934","0x10007","WAIT","1"
"9457.6","15:43:37.952","0x1CB2233F","unknown:0x1CB2233F","1"
"15877.7","15:43:44.372","0x10003","ARROW","1"
"16147.7","15:43:44.642","0x10005","IBEAM","1"
"16256.1","15:43:44.751","0x10003","ARROW","1"
"16267.7","15:43:44.762","0x10005","IBEAM","1"
"16288.8","15:43:44.783","0x10011","unknown:0x10011","1"
"16319.7","15:43:44.814","0x10005","IBEAM","1"
"16396.6","15:43:44.891","0x10003","ARROW","1"
"16440.1","15:43:44.935","0x10011","unknown:0x10011","1"
"16697.7","15:43:45.192","0x10003","ARROW","1"
"16713.1","15:43:45.208","0x1CB2233F","unknown:0x1CB2233F","1"
"46881.1","15:44:15.376","0x10007","WAIT","1"
"46913.7","15:44:15.408","0x1CB2233F","unknown:0x1CB2233F","1"
"49909.3","15:44:18.404","0x10003","ARROW","1"
"50220.8","15:44:18.715","0x10005","IBEAM","1"
"50319.6","15:44:18.814","0x10011","unknown:0x10011","1"
"50410.4","15:44:18.905","0x10005","IBEAM","1"
"50472.4","15:44:18.967","0x10003","ARROW","1"
"50521.4","15:44:19.016","0x10011","unknown:0x10011","1"
"56350.7","15:44:24.845","0x10003","ARROW","1"
"56383.1","15:44:24.878","0x1CB2233F","unknown:0x1CB2233F","1"
"56924.9","15:44:25.419","0x10007","WAIT","1"
"56939.5","15:44:25.434","0x1CB2233F","unknown:0x1CB2233F","1"
"57946.7","15:44:26.441","0x10007","WAIT","1"
"57962.4","15:44:26.457","0x1CB2233F","unknown:0x1CB2233F","1"
"60476.4","15:44:28.971","0x10007","WAIT","1"
"60488.9","15:44:28.983","0x1CB2233F","unknown:0x1CB2233F","1"
"64535.6","15:44:33.030","0x10007","WAIT","1"
"64568.7","15:44:33.063","0x1CB2233F","unknown:0x1CB2233F","1"
"65569.3","15:44:34.064","0x10007","WAIT","1"
"65585.4","15:44:34.080","0x1CB2233F","unknown:0x1CB2233F","1"
"71583.6","15:44:40.078","0x10007","WAIT","1"
"71614.6","15:44:40.109","0x1CB2233F","unknown:0x1CB2233F","1"
"81613.7","15:44:50.108","0x10007","WAIT","1"
"81644.9","15:44:50.139","0x1CB2233F","unknown:0x1CB2233F","1"
