"ElapsedMs","WallClock","Handle","Class","Flags"
"6.3","15:40:11.383","0x1CB2233F","unknown:0x1CB2233F","1"
"1286.4","15:40:12.663","0xAD801BD","unknown:0xAD801BD","1"
"1297.9","15:40:12.675","0x10005","IBEAM","1"
"1314","15:40:12.691","0x10003","ARROW","1"
"1629.1","15:40:13.006","0x10005","IBEAM","1"
"1645.2","15:40:13.022","0xAD801BD","unknown:0xAD801BD","1"
"1659.7","15:40:13.036","0x1CB2233F","unknown:0x1CB2233F","1"
"2049","15:40:13.426","0x6E11E3B","unknown:0x6E11E3B","1"
"2081.7","15:40:13.458","0x10003","ARROW","1"
"8891.6","15:40:20.268","0x0","unknown:0x0","0"
"9069.2","15:40:20.446","0x10003","ARROW","1"
"9094.8","15:40:20.471","0x0","unknown:0x0","0"
"9646.4","15:40:21.023","0x10003","ARROW","1"
"10878.5","15:40:22.255","0x0","unknown:0x0","0"
"10894","15:40:22.271","0x10003","ARROW","1"
"11720.9","15:40:23.098","0x0","unknown:0x0","0"
"11737.4","15:40:23.114","0x10003","ARROW","1"
"12737.4","15:40:24.114","0x0","unknown:0x0","0"
"12751.9","15:40:24.129","0x10003","ARROW","1"
"14865","15:40:26.242","0x0","unknown:0x0","0"
"14877","15:40:26.254","0x10003","ARROW","1"
"21376.9","15:40:32.754","0x0","unknown:0x0","0"
"44693.2","15:40:56.070","0x10003","ARROW","1"
"62254.7","15:41:13.631","0x10005","IBEAM","1"
"63283.1","15:41:14.660","0x10003","ARROW","1"
"63813.8","15:41:15.190","0x10005","IBEAM","1"
"63846.9","15:41:15.224","0x10003","ARROW","1"
"63865.9","15:41:15.243","0x10013","unknown:0x10013","1"
"63881.4","15:41:15.258","0x10003","ARROW","1"
