"ElapsedMs","WallClock","Handle","Class","Flags"
"5.7","15:34:31.702","0x10003","ARROW","1"
"54177.5","15:35:25.874","0xB2210A5","unknown:0xB2210A5","1"
"54270","15:35:25.966","0x10003","ARROW","1"
"54290.1","15:35:25.986","0x10005","IBEAM","1"
"61337.6","15:35:33.034","0x10003","ARROW","1"
"61366.5","15:35:33.063","0xB2210A5","unknown:0xB2210A5","1"
"61493.1","15:35:33.189","0x110724C5","unknown:0x110724C5","1"
"61506.6","15:35:33.203","0x67C264B","unknown:0x67C264B","1"
"61521.2","15:35:33.217","0x110724C5","unknown:0x110724C5","1"
"61541.2","15:35:33.237","0x10013","unknown:0x10013","1"
"61555.7","15:35:33.252","0x10005","IBEAM","1"
"61602.8","15:35:33.299","0x10003","ARROW","1"
"61900.1","15:35:33.596","0x10013","unknown:0x10013","1"
"61915.6","15:35:33.612","0x10003","ARROW","1"
"65771.3","15:35:37.467","0x10005","IBEAM","1"
"67707.3","15:35:39.403","0x10003","ARROW","1"
"67727.5","15:35:39.424","0x10007","WAIT","1"
"67738.5","15:35:39.435","0x10003","ARROW","1"
"68332.5","15:35:40.029","0x10013","unknown:0x10013","1"
"68355.6","15:35:40.052","0x10003","ARROW","1"
"77619","15:35:49.315","0x10005","IBEAM","1"
"82631.9","15:35:54.328","0x10003","ARROW","1"
"82711.2","15:35:54.407","0x10007","WAIT","1"
"82723.8","15:35:54.420","0x10003","ARROW","1"
"83692.7","15:35:55.389","0x10007","WAIT","1"
"83709.7","15:35:55.406","0x10003","ARROW","1"
"84429","15:35:56.125","0x10013","unknown:0x10013","1"
"84443","15:35:56.139","0x10003","ARROW","1"
