StartTimer,ElapsedMs,FreshRecords,AggregateReadMs,FlushTools
56071.6328125,3.90625,0,0,0
56072.12890625,11.71875,7,7.8125,1
56073.12890625,11.71875,7,11.71875,1
56074.13671875,7.8125,7,3.90625,1
56075.125,11.71875,7,7.8125,1
56076.1328125,7.8125,7,3.90625,1
56077.13671875,7.8125,7,3.90625,1
56078.12890625,7.8125,7,7.8125,1
56079.13671875,11.71875,7,7.8125,1
56080.12890625,7.8125,7,7.8125,1
56081.13671875,11.71875,7,7.8125,1
56082.1328125,7.8125,7,3.90625,1
56083.140625,7.8125,7,3.90625,1
56084.15625,11.71875,7,3.90625,1
56085.16796875,11.71875,7,7.8125,1
56086.68359375,7.8125,7,3.90625,1
56087.68359375,7.8125,7,7.8125,1
56088.703125,7.8125,7,7.8125,1
56089.72265625,7.8125,7,7.8125,1
56090.72265625,11.71875,7,7.8125,1
56091.734375,7.8125,7,3.90625,1
56092.74609375,11.71875,7,7.8125,1
56097.7578125,7.8125,7,3.90625,1
56102.76953125,3.90625,7,0,1
56104.265625,7.8125,7,7.8125,1
56105.27734375,7.8125,7,3.90625,1
56106.25390625,11.71875,7,7.8125,1
56107.7734375,3.90625,7,3.90625,1
56108.7734375,7.8125,7,3.90625,1
56109.78515625,7.8125,7,3.90625,1
56110.7890625,7.8125,7,7.8125,1
56111.8046875,11.71875,7,7.8125,1
56112.8125,7.8125,7,7.8125,1
56113.8203125,11.71875,7,3.90625,1
56118.328125,11.71875,7,3.90625,1
56119.3359375,7.8125,7,3.90625,1
56120.3359375,7.8125,7,7.8125,1
56121.33984375,7.8125,7,7.8125,1
56122.33203125,7.8125,7,7.8125,1
56123.3359375,7.8125,7,3.90625,1
56124.3359375,11.71875,7,7.8125,1
56125.3359375,11.71875,7,7.8125,1
56126.33203125,7.8125,7,3.90625,1
56127.3359375,7.8125,7,3.90625,1
56128.328125,7.8125,7,7.8125,1
56129.34375,11.71875,7,7.8125,1
56130.35546875,7.8125,7,7.8125,1
56131.375,7.8125,7,3.90625,1
56132.3828125,11.71875,7,3.90625,1
56133.36328125,19.53125,7,7.8125,1
56134.38671875,7.8125,7,3.90625,1
56135.38671875,11.71875,7,7.8125,1
56136.3984375,7.8125,7,3.90625,1
56137.91796875,7.8125,7,7.8125,1
56138.4296875,7.8125,4,7.8125,1
56139.40625,15.625,7,7.8125,1
56140.39453125,7.8125,7,7.8125,1
56141.41796875,7.8125,7,7.8125,1
56142.4140625,11.71875,7,7.8125,1
56143.41796875,7.8125,7,7.8125,1
56144.41796875,7.8125,7,7.8125,1
56145.41796875,7.8125,7,7.8125,1
56146.41796875,7.8125,7,7.8125,1
56147.42578125,7.8125,7,3.90625,1
56148.421875,7.8125,7,3.90625,1
56149.42578125,7.8125,7,3.90625,1
56150.41796875,7.8125,7,3.90625,1
56151.421875,7.8125,7,3.90625,1
56152.4140625,11.71875,7,7.8125,1
56153.42578125,7.8125,7,3.90625,1
56154.39453125,15.625,7,7.8125,1
56155.375,15.625,7,3.90625,1
56156.3671875,7.8125,7,3.90625,1
56157.36328125,7.8125,7,3.90625,1
56158.34765625,11.71875,7,3.90625,1
56159.35546875,7.8125,7,7.8125,1
56160.3515625,11.71875,7,7.8125,1
