"ElapsedMs","WallClock","Handle","Class","Flags"
"5.3","15:31:25.729","0x10003","ARROW","1"
"10217.5","15:31:35.941","0x10005","IBEAM","1"
"10267.6","15:31:35.991","0x10003","ARROW","1"
"13937","15:31:39.661","0x1001F","unknown:0x1001F","1"
"13971.5","15:31:39.695","0x10003","ARROW","1"
"13997.6","15:31:39.721","0x10005","IBEAM","1"
"14032.8","15:31:39.757","0x10003","ARROW","1"
"14816.5","15:31:40.540","0x10005","IBEAM","1"
"14830.1","15:31:40.554","0x10003","ARROW","1"
"14876.6","15:31:40.600","0x10005","IBEAM","1"
"14893.6","15:31:40.617","0x10003","ARROW","1"
"17013.8","15:31:42.738","0x10005","IBEAM","1"
"17033.8","15:31:42.758","0x10003","ARROW","1"
"17044.9","15:31:42.769","0x10005","IBEAM","1"
"17063.9","15:31:42.788","0x10003","ARROW","1"
"17442.3","15:31:43.166","0x10005","IBEAM","1"
"17534.6","15:31:43.258","0x10003","ARROW","1"
"18113.6","15:31:43.837","0x10005","IBEAM","1"
"18395.5","15:31:44.119","0x10003","ARROW","1"
"26845.9","15:31:52.570","0x10005","IBEAM","1"
"27061.3","15:31:52.785","0x10003","ARROW","1"
"27263.9","15:31:52.988","0x10011","unknown:0x10011","1"
"27488.1","15:31:53.212","0x10003","ARROW","1"
"27998.5","15:31:53.722","0x10005","IBEAM","1"
"28013.9","15:31:53.738","0x10003","ARROW","1"
"28114","15:31:53.838","0x10005","IBEAM","1"
"28128.2","15:31:53.852","0x10003","ARROW","1"
"28345.5","15:31:54.069","0x10005","IBEAM","1"
"28361","15:31:54.085","0x10003","ARROW","1"
"28421.3","15:31:54.145","0x10011","unknown:0x10011","1"
"28438.3","15:31:54.162","0x10003","ARROW","1"
"74031.2","15:32:39.755","0x0","unknown:0x0","0"
"74375.7","15:32:40.100","0x10003","ARROW","1"
"74874.2","15:32:40.598","0x0","unknown:0x0","0"
"78610.6","15:32:44.334","0x10003","ARROW","1"
"84891.7","15:32:50.615","0x0","unknown:0x0","0"
"84907.2","15:32:50.631","0x10003","ARROW","1"
"87533.6","15:32:53.257","0x0","unknown:0x0","0"
"87566.1","15:32:53.290","0x10003","ARROW","1"
"88453","15:32:54.177","0x0","unknown:0x0","0"
