"ElapsedMs","WallClock","Handle","Class","Flags"
"4.9","15:26:48.879","0x10003","ARROW","1"
"8777.7","15:26:57.651","0x0","unknown:0x0","0"
"24312.8","15:27:13.186","0x10003","ARROW","1"
"25469.7","15:27:14.343","0x0","unknown:0x0","0"
"37701.7","15:27:26.575","0x10003","ARROW","1"
"55017.2","15:27:43.891","0x0","unknown:0x0","0"
"55483","15:27:44.357","0x10003","ARROW","1"
"55497.2","15:27:44.371","0x0","unknown:0x0","0"
"58952.3","15:27:47.826","0x10003","ARROW","1"
"61175.3","15:27:50.049","0x0","unknown:0x0","0"
"61186.3","15:27:50.060","0x10003","ARROW","1"
"64514.4","15:27:53.388","0x0","unknown:0x0","0"
"69436.4","15:27:58.310","0x10003","ARROW","1"
