"ElapsedMs","WallClock","Handle","Class"
"10.7","13:12:40.362","0x10005","IBEAM"
"16651.8","13:12:57.003","0x10003","ARROW"
"16795","13:12:57.146","0x10013","unknown:0x10013"
"16807","13:12:57.158","0x10003","ARROW"
"22933.6","13:13:03.285","0x10005","IBEAM"
"22964.9","13:13:03.316","0x10003","ARROW"
"23013.9","13:13:03.365","0x10005","IBEAM"
"23028.4","13:13:03.379","0x10003","ARROW"
"23041.4","13:13:03.392","0x1001F","unknown:0x1001F"
"23105","13:13:03.456","0x10003","ARROW"
"23166.1","13:13:03.517","0x1001F","unknown:0x1001F"
"23212.7","13:13:03.564","0x10003","ARROW"
"23405.9","13:13:03.757","0x1001F","unknown:0x1001F"
"23421.4","13:13:03.772","0x10003","ARROW"
"23837.4","13:13:04.188","0x10013","unknown:0x10013"
"23859.9","13:13:04.211","0x10003","ARROW"
"26122.9","13:13:06.474","0x10005","IBEAM"
"29185.9","13:13:09.537","0x10003","ARROW"
"35715.1","13:13:16.066","0x10005","IBEAM"
"38043.9","13:13:18.395","0x10003","ARROW"
"38060.9","13:13:18.412","0x10005","IBEAM"
"38149.6","13:13:18.501","0x10003","ARROW"
"48045.8","13:13:28.397","0x10007","WAIT"
"48057.7","13:13:28.409","0x10003","ARROW"
"48087.5","13:13:28.439","0xCB9148D","unknown:0xCB9148D"
"52354.3","13:13:32.705","0x10005","IBEAM"
"52824.3","13:13:33.175","0x13BE2389","unknown:0x13BE2389"
"52844.3","13:13:33.195","0xCB9148D","unknown:0xCB9148D"
"54246.7","13:13:34.598","0x10007","WAIT"
"54263.1","13:13:34.614","0xCB9148D","unknown:0xCB9148D"
"54342.1","13:13:34.693","0x10005","IBEAM"
"54672.2","13:13:35.023","0xCB9148D","unknown:0xCB9148D"
"55183.1","13:13:35.534","0x13BE2389","unknown:0x13BE2389"
"55203.1","13:13:35.554","0xCB9148D","unknown:0xCB9148D"
"56884.6","13:13:37.236","0x10005","IBEAM"
"57076.6","13:13:37.428","0xCB9148D","unknown:0xCB9148D"
"57451","13:13:37.802","0x13BE2389","unknown:0x13BE2389"
"57496.1","13:13:37.847","0xCB9148D","unknown:0xCB9148D"
"57873.9","13:13:38.225","0x10007","WAIT"
"57901.9","13:13:38.253","0xCB9148D","unknown:0xCB9148D"
"58280.2","13:13:38.631","0x10005","IBEAM"
"58543","13:13:38.894","0xCB9148D","unknown:0xCB9148D"
"58905.9","13:13:39.257","0x13BE2389","unknown:0x13BE2389"
"58932.9","13:13:39.284","0xCB9148D","unknown:0xCB9148D"
"59873.8","13:13:40.225","0x13BE2389","unknown:0x13BE2389"
"59952.9","13:13:40.304","0xCB9148D","unknown:0xCB9148D"
"60045.8","13:13:40.397","0x10007","WAIT"
"60061.1","13:13:40.412","0xCB9148D","unknown:0xCB9148D"
"61681.4","13:13:42.032","0x10005","IBEAM"
"62213.8","13:13:42.565","0xCB9148D","unknown:0xCB9148D"
"62403.2","13:13:42.754","0x10007","WAIT"
"62419.2","13:13:42.770","0xCB9148D","unknown:0xCB9148D"
"62638.4","13:13:42.989","0x10005","IBEAM"
"64354.5","13:13:44.706","0xCB9148D","unknown:0xCB9148D"
"64747","13:13:45.098","0x13BE2389","unknown:0x13BE2389"
"64763.1","13:13:45.114","0xCB9148D","unknown:0xCB9148D"
"65636.2","13:13:45.987","0x13BE2389","unknown:0x13BE2389"
"65997.4","13:13:46.348","0xCB9148D","unknown:0xCB9148D"
"66451.3","13:13:46.802","0x10005","IBEAM"
"66665.9","13:13:47.017","0xCB9148D","unknown:0xCB9148D"
"66947.2","13:13:47.298","0x13BE2389","unknown:0x13BE2389"
"67060.9","13:13:47.412","0xCB9148D","unknown:0xCB9148D"
"68169","13:13:48.520","0x13BE2389","unknown:0x13BE2389"
"68620.2","13:13:48.971","0xCB9148D","unknown:0xCB9148D"
"68966.2","13:13:49.317","0x10007","WAIT"
"68996.2","13:13:49.347","0xCB9148D","unknown:0xCB9148D"
"69074.8","13:13:49.426","0x10005","IBEAM"
"69325.1","13:13:49.676","0xCB9148D","unknown:0xCB9148D"
"69545","13:13:49.896","0x10007","WAIT"
"69556","13:13:49.907","0xCB9148D","unknown:0xCB9148D"
"69654.9","13:13:50.006","0x13BE2389","unknown:0x13BE2389"
"69808.1","13:13:50.159","0xCB9148D","unknown:0xCB9148D"
"72122.5","13:13:52.474","0x10007","WAIT"
"72137.3","13:13:52.488","0x13BE2389","unknown:0x13BE2389"
"72529.3","13:13:52.880","0xCB9148D","unknown:0xCB9148D"
"73089","13:13:53.440","0x10005","IBEAM"
"73447.3","13:13:53.798","0x13BE2389","unknown:0x13BE2389"
"73462.3","13:13:53.813","0xCB9148D","unknown:0xCB9148D"
"73838.1","13:13:54.189","0x13BE2389","unknown:0x13BE2389"
"73855.3","13:13:54.206","0xCB9148D","unknown:0xCB9148D"
"74353.4","13:13:54.704","0x10005","IBEAM"
"74811.4","13:13:55.162","0xCB9148D","unknown:0xCB9148D"
"75040.5","13:13:55.392","0x13BE2389","unknown:0x13BE2389"
"75057.4","13:13:55.408","0x10007","WAIT"
"75076","13:13:55.427","0x13BE2389","unknown:0x13BE2389"
"75091.1","13:13:55.442","0xCB9148D","unknown:0xCB9148D"
"75541.5","13:13:55.892","0x10005","IBEAM"
"75999.1","13:13:56.350","0x13BE2389","unknown:0x13BE2389"
"76027.1","13:13:56.378","0xCB9148D","unknown:0xCB9148D"
"76510.2","13:13:56.861","0x13BE2389","unknown:0x13BE2389"
"76637.3","13:13:56.988","0x10003","ARROW"
"76780.1","13:13:57.131","0x13BE2389","unknown:0x13BE2389"
"77060.1","13:13:57.411","0xCB9148D","unknown:0xCB9148D"
"77172.3","13:13:57.523","0x13BE2389","unknown:0x13BE2389"
"77452.3","13:13:57.803","0xCB9148D","unknown:0xCB9148D"
"77827.1","13:13:58.178","0x10005","IBEAM"
"77984.6","13:13:58.336","0xCB9148D","unknown:0xCB9148D"
"78198.2","13:13:58.549","0x10007","WAIT"
"78213.1","13:13:58.564","0xCB9148D","unknown:0xCB9148D"
"78308.1","13:13:58.659","0x13BE2389","unknown:0x13BE2389"
"78357.2","13:13:58.708","0xCB9148D","unknown:0xCB9148D"
"81309.5","13:14:01.661","0x10005","IBEAM"
"81481.4","13:14:01.832","0x13BE2389","unknown:0x13BE2389"
"81496.5","13:14:01.847","0xCB9148D","unknown:0xCB9148D"
"81636.3","13:14:01.987","0x10007","WAIT"
"81652.3","13:14:02.003","0xCB9148D","unknown:0xCB9148D"
"81868.2","13:14:02.219","0x13BE2389","unknown:0x13BE2389"
"81887.3","13:14:02.238","0xCB9148D","unknown:0xCB9148D"
"85637.5","13:14:05.989","0x13BE2389","unknown:0x13BE2389"
"85696.6","13:14:06.048","0x10007","WAIT"
"85718.7","13:14:06.070","0x13BE2389","unknown:0x13BE2389"
"85733.9","13:14:06.085","0xCB9148D","unknown:0xCB9148D"
"86700.2","13:14:07.051","0x10007","WAIT"
"86716.6","13:14:07.068","0xCB9148D","unknown:0xCB9148D"
