StartTimer,ElapsedMs,FreshRecords,AggregateReadMs,FlushTools
56046.68359375,7.8125,0,3.90625,0
56047.19921875,7.8125,7,3.90625,1
56048.1796875,11.71875,7,7.8125,1
56049.18359375,11.71875,7,7.8125,1
56050.16015625,11.71875,7,3.90625,1
56051.1640625,7.8125,7,7.8125,1
56052.15625,11.71875,7,3.90625,1
56053.16015625,11.71875,7,7.8125,1
56054.16015625,7.8125,7,3.90625,1
56055.16015625,11.71875,7,7.8125,1
56056.1640625,11.71875,7,7.8125,1
56057.6875,7.8125,7,7.8125,1
56058.6953125,7.8125,7,3.90625,1
56059.70703125,7.8125,7,3.90625,1
56060.72265625,7.8125,7,3.90625,1
56061.73046875,7.8125,7,3.90625,1
