"ElapsedMs","WallClock","Handle","Class","Flags"
"6.8","16:11:15.890","0x10003","ARROW","1"
"132.9","16:11:16.016","0x10007","WAIT","1"
"148.8","16:11:16.032","0x10013","unknown:0x10013","1"
"178.8","16:11:16.062","0x10007","WAIT","1"
"192.7","16:11:16.076","0x10003","ARROW","1"
"211.4","16:11:16.094","0x18D225BD","unknown:0x18D225BD","1"
"447.2","16:11:16.330","0x10003","ARROW","1"
"29525.1","16:11:45.408","0x18D225BD","unknown:0x18D225BD","1"
"32522.1","16:11:48.405","0x10007","WAIT","1"
"32539.6","16:11:48.423","0x18D225BD","unknown:0x18D225BD","1"
"34526.2","16:11:50.409","0x10007","WAIT","1"
"34541","16:11:50.424","0x18D225BD","unknown:0x18D225BD","1"
"35537.3","16:11:51.420","0x10007","WAIT","1"
"35555.5","16:11:51.439","0x18D225BD","unknown:0x18D225BD","1"
"37572.4","16:11:53.455","0x10007","WAIT","1"
"37587","16:11:53.470","0x18D225BD","unknown:0x18D225BD","1"
"49605.7","16:12:05.489","0x10007","WAIT","1"
"49630.7","16:12:05.514","0x18D225BD","unknown:0x18D225BD","1"
"59650.2","16:12:15.533","0x10007","WAIT","1"
"59666.6","16:12:15.550","0x18D225BD","unknown:0x18D225BD","1"
