StartTimer,ElapsedMs,FreshRecords,AggregateReadMs,FlushTools,PumpOnceMs,DispatchMs,ErrorPollMs,CleanupMs
58275.30078125,0,0,0,0,0,0,0,0
58276.0625,27.34375,7,3.90625,0,11.71875,7.8125,0,0
58277.0703125,15.625,7,3.90625,0,11.71875,7.8125,0,0
58278.07421875,15.625,7,3.90625,0,11.71875,7.8125,0,0
58279.0703125,15.625,7,7.8125,0,15.625,7.8125,0,0
58280.0703125,15.625,7,3.90625,0,11.71875,7.8125,0,0
58281.0703125,19.53125,7,3.90625,0,11.71875,7.8125,0,0
58282.06640625,15.625,7,3.90625,0,7.8125,3.90625,0,0
58283.0703125,15.625,7,3.90625,0,11.71875,7.8125,0,0
58284.06640625,11.71875,7,3.90625,0,7.8125,3.90625,0,0
58285.0703125,15.625,7,7.8125,0,11.71875,3.90625,0,0
58286.0625,15.625,7,7.8125,0,15.625,3.90625,0,3.90625
58287.07421875,15.625,7,3.90625,0,11.71875,7.8125,0,0
58288.06640625,15.625,7,3.90625,0,7.8125,3.90625,0,0
58289.08203125,15.625,7,7.8125,0,11.71875,3.90625,0,0
58290.078125,15.625,7,7.8125,0,11.71875,3.90625,0,0
58291.09375,15.625,7,7.8125,0,11.71875,3.90625,0,0
58292.109375,15.625,7,3.90625,0,7.8125,3.90625,0,0
58293.12890625,11.71875,7,3.90625,0,11.71875,7.8125,0,0
58294.12890625,11.71875,7,3.90625,0,7.8125,3.90625,0,0
58295.140625,15.625,7,3.90625,0,11.71875,7.8125,0,0
58296.15234375,15.625,7,7.8125,0,11.71875,3.90625,0,0
58297.16015625,15.625,7,3.90625,0,11.71875,7.8125,0,0
58298.15234375,11.71875,7,3.90625,0,11.71875,3.90625,0,3.90625
58299.6953125,15.625,7,3.90625,0,11.71875,7.8125,0,0
58300.20703125,15.625,7,7.8125,0,11.71875,3.90625,0,0
58301.21484375,15.625,7,7.8125,0,11.71875,3.90625,0,0
58302.21484375,15.625,7,7.8125,0,11.71875,3.90625,0,0
58303.20703125,15.625,7,3.90625,0,11.71875,7.8125,0,0
58304.21875,15.625,7,3.90625,0,7.8125,3.90625,0,0
58305.2421875,11.71875,7,3.90625,0,11.71875,7.8125,0,0
58306.37890625,11.71875,7,3.90625,0,11.71875,7.8125,0,0
58307.38671875,15.625,7,3.90625,0,7.8125,3.90625,0,0
58308.40234375,15.625,7,3.90625,0,7.8125,3.90625,0,0
58309.3984375,11.71875,7,7.8125,0,11.71875,3.90625,0,0
58310.40625,15.625,7,3.90625,0,7.8125,3.90625,0,0
58311.41796875,15.625,7,3.90625,0,7.8125,3.90625,0,0
58312.43359375,15.625,7,7.8125,0,11.71875,3.90625,0,0
58313.44140625,11.71875,7,7.8125,0,11.71875,3.90625,0,0
58314.4609375,11.71875,7,7.8125,0,11.71875,3.90625,0,0
58315.4609375,15.625,7,7.8125,0,11.71875,3.90625,0,0
58320.4765625,15.625,7,7.8125,0,11.71875,3.90625,0,0
58325.48828125,15.625,7,7.8125,0,11.71875,3.90625,0,0
58330.51171875,15.625,7,7.8125,0,11.71875,3.90625,0,0
58335.51953125,15.625,7,3.90625,0,7.8125,3.90625,0,0
