StartTimer,ElapsedMs,FreshRecords,AggregateReadMs,FlushTools,PumpOnceMs,DispatchMs,ErrorPollMs,CleanupMs
57976.0546875,3.90625,0,0,0,0,0,0,0
57977.05859375,15.625,7,3.90625,0,11.71875,7.8125,0,0
57978.07421875,15.625,7,3.90625,0,11.71875,7.8125,0,0
57979.08984375,15.625,7,7.8125,0,15.625,7.8125,0,0
57980.10546875,19.53125,7,11.71875,0,15.625,3.90625,0,0
57985.1171875,15.625,7,7.8125,0,11.71875,3.90625,0,0
57990.1171875,15.625,7,3.90625,0,7.8125,3.90625,0,0
57995.1171875,15.625,7,3.90625,0,15.625,7.8125,0,0
58000.13671875,15.625,7,7.8125,0,11.71875,3.90625,0,0
58005.1484375,11.71875,7,7.8125,0,11.71875,3.90625,0,0
58010.16015625,11.71875,7,3.90625,0,11.71875,3.90625,3.90625,0
58015.171875,7.8125,7,3.90625,0,7.8125,3.90625,0,0
58020.1875,11.71875,7,3.90625,0,7.8125,3.90625,0,0
58025.203125,15.625,7,7.8125,0,11.71875,3.90625,0,0
58030.21875,7.8125,7,3.90625,0,7.8125,3.90625,0,0
