"ElapsedMs","WallClock","Handle","Class","Flags"
"5.1","15:55:55.262","0x32242597","unknown:0x32242597","1"
"14425.3","15:56:09.682","0x10007","WAIT","1"
"14455.5","15:56:09.713","0x32242597","unknown:0x32242597","1"
"24453.1","15:56:19.710","0x10007","WAIT","1"
"24475","15:56:19.732","0x32242597","unknown:0x32242597","1"
"27582.1","15:56:22.839","0x10003","ARROW","1"
"40906.8","15:56:36.164","0x32242597","unknown:0x32242597","1"
"41112.4","15:56:36.369","0x1C2F2327","unknown:0x1C2F2327","1"
"41125.4","15:56:36.382","0x10005","IBEAM","1"
"41141.3","15:56:36.398","0x10003","ARROW","1"
"41272.1","15:56:36.529","0x10013","unknown:0x10013","1"
"41287.6","15:56:36.545","0x10003","ARROW","1"
"43328.3","15:56:38.585","0x10005","IBEAM","1"
"43347.8","15:56:38.605","0x32242597","unknown:0x32242597","1"
"43767.6","15:56:39.025","0x10003","ARROW","1"
"43845.3","15:56:39.102","0x10013","unknown:0x10013","1"
"43864.4","15:56:39.121","0x10003","ARROW","1"
