"ElapsedMs","WallClock","Handle","Class","Flags"
"0.4","21:06:09.497","0x70085B","unknown:0x70085B","1"
"936.1","21:06:10.433","0x10007","WAIT","1"
"940.1","21:06:10.437","0x70085B","unknown:0x70085B","1"
"960.1","21:06:10.457","0x10007","WAIT","1"
"964","21:06:10.461","0x70085B","unknown:0x70085B","1"
"1952.1","21:06:11.449","0x10007","WAIT","1"
"1956.1","21:06:11.453","0x70085B","unknown:0x70085B","1"
"1984.1","21:06:11.481","0x10007","WAIT","1"
"1988.1","21:06:11.485","0x70085B","unknown:0x70085B","1"
"2984.1","21:06:12.481","0x10007","WAIT","1"
"2992","21:06:12.489","0x70085B","unknown:0x70085B","1"
"3012","21:06:12.509","0x10007","WAIT","1"
"3020","21:06:12.517","0x70085B","unknown:0x70085B","1"
"4552.1","21:06:14.049","0x10007","WAIT","1"
"4556","21:06:14.053","0x70085B","unknown:0x70085B","1"
"4568","21:06:14.065","0x10007","WAIT","1"
"4572","21:06:14.069","0x70085B","unknown:0x70085B","1"
"5580","21:06:15.077","0x10007","WAIT","1"
"5584","21:06:15.081","0x70085B","unknown:0x70085B","1"
"6580","21:06:16.077","0x10007","WAIT","1"
"6584","21:06:16.081","0x70085B","unknown:0x70085B","1"
"8608.1","21:06:18.105","0x10007","WAIT","1"
"8612.1","21:06:18.109","0x70085B","unknown:0x70085B","1"
"8620.2","21:06:18.117","0x10007","WAIT","1"
"8624","21:06:18.121","0x70085B","unknown:0x70085B","1"
"9624","21:06:19.121","0x10007","WAIT","1"
"9628","21:06:19.125","0x70085B","unknown:0x70085B","1"
"9652.1","21:06:19.149","0x10007","WAIT","1"
"9656.2","21:06:19.153","0x70085B","unknown:0x70085B","1"
"10664.1","21:06:20.161","0x10007","WAIT","1"
"10668.1","21:06:20.165","0x70085B","unknown:0x70085B","1"
"10692.1","21:06:20.189","0x10007","WAIT","1"
"10696","21:06:20.193","0x70085B","unknown:0x70085B","1"
"11684.1","21:06:21.181","0x10007","WAIT","1"
"11688.1","21:06:21.185","0x70085B","unknown:0x70085B","1"
"11708.1","21:06:21.205","0x10007","WAIT","1"
"11712","21:06:21.209","0x70085B","unknown:0x70085B","1"
"12712.1","21:06:22.209","0x10007","WAIT","1"
"12716.1","21:06:22.213","0x70085B","unknown:0x70085B","1"
"12732.1","21:06:22.229","0x10007","WAIT","1"
"12736.2","21:06:22.233","0x70085B","unknown:0x70085B","1"
"14732.1","21:06:24.229","0x10007","WAIT","1"
"14736.1","21:06:24.233","0x70085B","unknown:0x70085B","1"
"14752.1","21:06:24.249","0x10007","WAIT","1"
"14756.1","21:06:24.253","0x70085B","unknown:0x70085B","1"
"15756","21:06:25.253","0x10007","WAIT","1"
"15764","21:06:25.261","0x70085B","unknown:0x70085B","1"
"15776","21:06:25.273","0x10007","WAIT","1"
"15780.1","21:06:25.277","0x70085B","unknown:0x70085B","1"
"16764","21:06:26.261","0x10007","WAIT","1"
"16768","21:06:26.265","0x70085B","unknown:0x70085B","1"
"16788.1","21:06:26.285","0x10007","WAIT","1"
"16792.1","21:06:26.289","0x70085B","unknown:0x70085B","1"
"17776.1","21:06:27.273","0x10007","WAIT","1"
"17780.1","21:06:27.277","0x70085B","unknown:0x70085B","1"
"17804","21:06:27.301","0x10007","WAIT","1"
"17808.1","21:06:27.305","0x70085B","unknown:0x70085B","1"
"18800.1","21:06:28.297","0x10007","WAIT","1"
"18812","21:06:28.309","0x70085B","unknown:0x70085B","1"
"18836","21:06:28.333","0x10007","WAIT","1"
"18840.1","21:06:28.337","0x70085B","unknown:0x70085B","1"
"19808.1","21:06:29.305","0x10007","WAIT","1"
"19812.2","21:06:29.309","0x70085B","unknown:0x70085B","1"
"20804","21:06:30.301","0x10007","WAIT","1"
"20812","21:06:30.309","0x70085B","unknown:0x70085B","1"
"21836.1","21:06:31.333","0x10007","WAIT","1"
"21840","21:06:31.337","0x70085B","unknown:0x70085B","1"
"21852.1","21:06:31.349","0x10007","WAIT","1"
"21856.1","21:06:31.353","0x70085B","unknown:0x70085B","1"
"22844.1","21:06:32.341","0x10007","WAIT","1"
"22848.2","21:06:32.345","0x70085B","unknown:0x70085B","1"
"22868","21:06:32.365","0x10007","WAIT","1"
"22872","21:06:32.369","0x70085B","unknown:0x70085B","1"
"23848","21:06:33.345","0x10007","WAIT","1"
"23852","21:06:33.349","0x70085B","unknown:0x70085B","1"
"23880.1","21:06:33.377","0x10007","WAIT","1"
"23888.1","21:06:33.385","0x70085B","unknown:0x70085B","1"
"24884.1","21:06:34.381","0x10007","WAIT","1"
"24888","21:06:34.385","0x70085B","unknown:0x70085B","1"
"25924.1","21:06:35.421","0x10007","WAIT","1"
"25936.1","21:06:35.433","0x70085B","unknown:0x70085B","1"
"25960.1","21:06:35.457","0x10007","WAIT","1"
"25964","21:06:35.461","0x70085B","unknown:0x70085B","1"
"26952.1","21:06:36.449","0x10007","WAIT","1"
"26956.2","21:06:36.453","0x70085B","unknown:0x70085B","1"
"26980","21:06:36.477","0x10007","WAIT","1"
"26984","21:06:36.481","0x70085B","unknown:0x70085B","1"
"27984.2","21:06:37.481","0x10007","WAIT","1"
"27988","21:06:37.485","0x70085B","unknown:0x70085B","1"
"28980.4","21:06:38.477","0x10007","WAIT","1"
"28988.1","21:06:38.485","0x70085B","unknown:0x70085B","1"
"29004.2","21:06:38.501","0x10007","WAIT","1"
"29012","21:06:38.509","0x70085B","unknown:0x70085B","1"
"29992","21:06:39.489","0x10007","WAIT","1"
"29996.1","21:06:39.493","0x70085B","unknown:0x70085B","1"
"30028.1","21:06:39.525","0x10007","WAIT","1"
"30032.1","21:06:39.529","0x70085B","unknown:0x70085B","1"
"30528.1","21:06:40.025","0x10007","WAIT","1"
"30532","21:06:40.029","0x70085B","unknown:0x70085B","1"
"31552.2","21:06:41.049","0x10007","WAIT","1"
"31556","21:06:41.053","0x70085B","unknown:0x70085B","1"
"32572","21:06:42.069","0x10007","WAIT","1"
"32576","21:06:42.073","0x70085B","unknown:0x70085B","1"
"32580.1","21:06:42.077","0x10007","WAIT","1"
"32584.1","21:06:42.081","0x70085B","unknown:0x70085B","1"
"33588.2","21:06:43.085","0x10007","WAIT","1"
"33592.1","21:06:43.089","0x70085B","unknown:0x70085B","1"
"33608.1","21:06:43.105","0x10007","WAIT","1"
"33612.2","21:06:43.109","0x70085B","unknown:0x70085B","1"
"34604","21:06:44.101","0x10007","WAIT","1"
