"SecondIndex","WaitMs"
"0","8"
"1","0"
"2","3.9"
"3","4"
"4","0"
"5","19.7"
"6","4.2"
"7","4"
"8","8"
"9","4.1"
"10","4"
"11","4.1"
"12","4"
"13","12"
"14","8"
"15","4"
"16","12"
"17","4"
"18","3.9"
"19","8"
"20","4.2"
"21","8.1"
"22","8.1"
"23","8"
"24","4"
"25","7.9"
"26","8.1"
"27","15.8"
"28","4"
"29","4"
"30","0"
"31","11.7"
"32","0"
"33","4"
"34","7.9"
"35","0"
"36","3.9"
"37","7.8"
"38","8.1"
"39","4.1"
"40","4"
"41","4"
"42","7.8"
"43","8"
"44","4.1"
"45","8"
"46","12"
"47","7.9"
"48","8"
"49","4.1"
"50","8"
"51","4"
"52","4"
"53","8"
"54","8"
"55","8"
"56","15.7"
"57","16"
"58","8"
"59","0"
"60","4"
"61","4"
"62","4"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","4"
"69","8"
"70","4"
"71","8"
"72","4"
"73","4"
"74","4.1"
"75","8.1"
"76","4"
"77","8"
"78","12"
"79","4.1"
"80","8"
"81","4.1"
"82","3.9"
"83","7.9"
"84","7.8"
"85","0"
"86","8"
"87","4"
"88","8"
"89","0"
