StartTimer,ElapsedMs,FreshRecords,AggregateReadMs,FlushTools,PumpOnceMs,DispatchMs,ErrorPollMs,CleanupMs
76064.4140625,15.625,7,7.8125,0,15.625,7.8125,0,0
76065.4453125,7.8125,7,0,0,7.8125,7.8125,0,0
76066.46875,15.625,7,7.8125,0,15.625,7.8125,0,0
76067.0078125,7.8125,3,7.8125,0,7.8125,0,0,0
76068.5,39.0625,7,7.8125,0,23.4375,7.8125,0,7.8125
76069.0703125,7.8125,5,7.8125,0,7.8125,0,0,0
76070.1015625,15.625,6,0,0,15.625,15.625,0,0
76071.1171875,15.625,6,15.625,0,15.625,0,0,0
76072.1328125,23.4375,7,7.8125,0,7.8125,0,0,0
76073.1640625,31.25,7,15.625,0,23.4375,7.8125,0,0
76074.203125,0,0,0,0,0,0,0,0
76075.2109375,15.625,7,7.8125,0,15.625,7.8125,0,0
76076.2265625,7.8125,6,7.8125,0,7.8125,0,0,0
76077.2578125,23.4375,7,15.625,0,23.4375,7.8125,0,0
76078.2421875,15.625,7,7.8125,0,15.625,7.8125,0,0
76079.25,23.4375,7,7.8125,0,15.625,7.8125,0,0
76080.2734375,23.4375,7,7.8125,0,15.625,7.8125,0,0
76081.2734375,15.625,7,0,0,7.8125,7.8125,0,0
76082.28125,15.625,7,7.8125,0,7.8125,0,0,0
76083.296875,31.25,7,15.625,0,23.4375,7.8125,0,0
76084.328125,15.625,7,7.8125,0,7.8125,0,0,0
76085.3203125,7.8125,7,7.8125,0,7.8125,0,0,0
76086.3125,23.4375,7,7.8125,0,15.625,7.8125,0,0
76087.34375,7.8125,7,7.8125,0,7.8125,0,0,0
76088.3515625,23.4375,7,7.8125,0,15.625,7.8125,0,0
76089.359375,23.4375,7,7.8125,0,15.625,7.8125,0,0
76090.3515625,23.4375,7,7.8125,0,15.625,0,0,0
76091.3828125,46.875,7,15.625,0,23.4375,7.8125,0,0
76092.4375,23.4375,7,7.8125,0,15.625,7.8125,0,0
76093.4765625,23.4375,7,15.625,0,15.625,0,0,0
76094.515625,23.4375,7,7.8125,0,15.625,7.8125,0,0
76095.0546875,31.25,4,23.4375,0,23.4375,0,0,0
76096.0859375,0,0,0,0,0,0,0,0
76097.09375,23.4375,7,7.8125,0,15.625,7.8125,0,0
76098.1171875,7.8125,0,0,0,0,0,0,0
76099.125,7.8125,7,0,0,7.8125,7.8125,0,0
76100.109375,15.625,6,7.8125,0,15.625,7.8125,0,0
76101.125,23.4375,6,15.625,0,23.4375,7.8125,0,0
76102.1484375,31.25,7,15.625,0,23.4375,7.8125,0,0
76103.171875,23.4375,7,15.625,0,23.4375,7.8125,0,0
76104.1953125,15.625,7,7.8125,0,15.625,7.8125,0,0
76105.2421875,15.625,7,7.8125,0,15.625,7.8125,0,0
76106.2578125,0,0,0,0,0,0,0,0
76107.234375,23.4375,7,7.8125,0,7.8125,0,0,0
76108.25,7.8125,6,0,0,7.8125,7.8125,0,0
76109.265625,15.625,7,7.8125,0,15.625,7.8125,0,0
76110.28125,31.25,7,15.625,0,23.4375,7.8125,0,0
76111.3046875,23.4375,7,7.8125,0,15.625,7.8125,0,0
76112.3203125,23.4375,7,7.8125,0,15.625,7.8125,0,0
76113.328125,31.25,7,7.8125,0,15.625,7.8125,0,0
76114.3515625,23.4375,7,7.8125,0,23.4375,7.8125,0,7.8125
76115.359375,23.4375,7,0,0,7.8125,7.8125,0,0
76116.390625,23.4375,7,7.8125,0,15.625,7.8125,0,0
76117.4140625,23.4375,7,15.625,0,15.625,0,0,0
76118.4140625,46.875,7,7.8125,0,23.4375,15.625,0,0
76119.4453125,39.0625,7,15.625,0,23.4375,7.8125,0,0
76120.4765625,39.0625,7,7.8125,0,15.625,7.8125,0,0
76121.0390625,15.625,3,15.625,0,15.625,0,0,0
76122.0546875,39.0625,7,15.625,0,23.4375,7.8125,0,0
76123.078125,23.4375,5,23.4375,0,23.4375,0,0,0
76124.046875,15.625,7,15.625,0,15.625,0,0,0
76125.0546875,0,6,0,0,0,0,0,0
76126.0546875,7.8125,0,0,0,7.8125,0,7.8125,0
76127.03125,7.8125,7,7.8125,0,7.8125,0,0,0
76128.03125,15.625,7,7.8125,0,15.625,7.8125,0,0
76129.046875,7.8125,7,7.8125,0,7.8125,0,0,0
76130.0546875,15.625,7,7.8125,0,15.625,7.8125,0,0
76131.046875,31.25,7,15.625,0,31.25,7.8125,7.8125,0
76132.078125,7.8125,6,7.8125,0,7.8125,0,0,0
76133.0859375,15.625,6,0,0,7.8125,7.8125,0,0
76134.1015625,7.8125,7,0,0,0,0,0,0
76135.109375,15.625,7,7.8125,0,7.8125,0,0,0
76136.125,23.4375,6,15.625,0,23.4375,7.8125,0,0
76137.15625,31.25,7,15.625,0,23.4375,7.8125,0,0
76138.1796875,23.4375,7,7.8125,0,15.625,7.8125,0,0
76139.21875,23.4375,7,15.625,0,15.625,0,0,0
76140.2421875,15.625,7,7.8125,0,15.625,7.8125,0,0
