"SecondIndex","WaitMs"
"0","0"
"1","8.1"
"2","4.1"
"3","4"
"4","4"
"5","4.1"
"6","4"
"7","0"
"8","8.1"
"9","4"
"10","16.1"
"11","8"
"12","8.1"
"13","8.1"
"14","4"
"15","0"
"16","8"
"17","0"
"18","8"
"19","4.1"
"20","7.9"
"21","4"
"22","0"
"23","4"
"24","4"
"25","0"
"26","4"
"27","7.8"
"28","4"
"29","8"
"30","12"
"31","4"
"32","8"
"33","4.1"
"34","4"
"35","0"
"36","0"
"37","8"
"38","8.3"
"39","4"
"40","4"
"41","0"
"42","8"
"43","0"
"44","4"
"45","8"
"46","4"
"47","0"
"48","12.1"
"49","8"
"50","4"
"51","8.1"
"52","0"
"53","8"
"54","7.9"
"55","8"
"56","8.1"
"57","0"
"58","0"
"59","4"
"60","8"
"61","8"
"62","4"
"63","7.9"
"64","8"
"65","12"
"66","0"
"67","0"
"68","4"
"69","4"
"70","0"
"71","4"
"72","4"
"73","4"
"74","0"
"75","8"
"76","0"
"77","0"
"78","4"
"79","4"
"80","4"
"81","4"
"82","11.9"
"83","0"
"84","8"
"85","4"
"86","4"
"87","4"
"88","4"
"89","8"
