"ElapsedMs","WallClock","Handle","Class","Flags"
"0.3","21:25:55.822","0x16C0869","unknown:0x16C0869","1"
"500","21:25:56.322","0x10007","WAIT","1"
"504","21:25:56.326","0x16C0869","unknown:0x16C0869","1"
"2472","21:25:58.294","0x10007","WAIT","1"
"2476.1","21:25:58.298","0x16C0869","unknown:0x16C0869","1"
"3496","21:25:59.318","0x10007","WAIT","1"
"3500.1","21:25:59.322","0x16C0869","unknown:0x16C0869","1"
"4492.1","21:26:00.314","0x10007","WAIT","1"
"4496.1","21:26:00.318","0x16C0869","unknown:0x16C0869","1"
"4512","21:26:00.334","0x10007","WAIT","1"
"4516.1","21:26:00.338","0x16C0869","unknown:0x16C0869","1"
"5524","21:26:01.346","0x10007","WAIT","1"
"5528","21:26:01.350","0x16C0869","unknown:0x16C0869","1"
"5540.1","21:26:01.362","0x10007","WAIT","1"
"5544.1","21:26:01.366","0x16C0869","unknown:0x16C0869","1"
"6528.1","21:26:02.350","0x10007","WAIT","1"
"6532","21:26:02.354","0x16C0869","unknown:0x16C0869","1"
"7540","21:26:03.362","0x10007","WAIT","1"
"7544.1","21:26:03.366","0x16C0869","unknown:0x16C0869","1"
"7560","21:26:03.382","0x10007","WAIT","1"
"7564","21:26:03.386","0x16C0869","unknown:0x16C0869","1"
"8516","21:26:04.338","0x10007","WAIT","1"
"8520.1","21:26:04.342","0x16C0869","unknown:0x16C0869","1"
"8536","21:26:04.358","0x10007","WAIT","1"
"8540.1","21:26:04.362","0x16C0869","unknown:0x16C0869","1"
"9540","21:26:05.362","0x10007","WAIT","1"
"9544.1","21:26:05.366","0x16C0869","unknown:0x16C0869","1"
"9564","21:26:05.386","0x10007","WAIT","1"
"9568.1","21:26:05.390","0x16C0869","unknown:0x16C0869","1"
"10560","21:26:06.382","0x10007","WAIT","1"
"10564.1","21:26:06.386","0x16C0869","unknown:0x16C0869","1"
"11580","21:26:07.402","0x10007","WAIT","1"
"11584","21:26:07.406","0x16C0869","unknown:0x16C0869","1"
"11596","21:26:07.418","0x10007","WAIT","1"
"11600.1","21:26:07.422","0x16C0869","unknown:0x16C0869","1"
"12588","21:26:08.410","0x10007","WAIT","1"
"12592.1","21:26:08.414","0x16C0869","unknown:0x16C0869","1"
"12604","21:26:08.426","0x10007","WAIT","1"
"12608","21:26:08.430","0x16C0869","unknown:0x16C0869","1"
"13640.1","21:26:09.462","0x10007","WAIT","1"
"13648.1","21:26:09.470","0x16C0869","unknown:0x16C0869","1"
"14664.2","21:26:10.486","0x10007","WAIT","1"
"14668","21:26:10.490","0x16C0869","unknown:0x16C0869","1"
"15640","21:26:11.462","0x10007","WAIT","1"
"15644.2","21:26:11.466","0x16C0869","unknown:0x16C0869","1"
"15660","21:26:11.482","0x10007","WAIT","1"
"15664","21:26:11.486","0x16C0869","unknown:0x16C0869","1"
"16652.2","21:26:12.474","0x10007","WAIT","1"
"16656.1","21:26:12.478","0x16C0869","unknown:0x16C0869","1"
"16672","21:26:12.494","0x10007","WAIT","1"
"16676","21:26:12.498","0x16C0869","unknown:0x16C0869","1"
"18684","21:26:14.506","0x10007","WAIT","1"
"18688","21:26:14.510","0x16C0869","unknown:0x16C0869","1"
"19192.1","21:26:15.014","0x10007","WAIT","1"
"19196","21:26:15.018","0x16C0869","unknown:0x16C0869","1"
"20200","21:26:16.022","0x10007","WAIT","1"
"20204","21:26:16.026","0x16C0869","unknown:0x16C0869","1"
"21216.1","21:26:17.038","0x10007","WAIT","1"
"21220","21:26:17.042","0x16C0869","unknown:0x16C0869","1"
"23208","21:26:19.030","0x10007","WAIT","1"
"23212","21:26:19.034","0x16C0869","unknown:0x16C0869","1"
"23260","21:26:19.082","0x10007","WAIT","1"
"23264","21:26:19.086","0x16C0869","unknown:0x16C0869","1"
"24256.1","21:26:20.078","0x10007","WAIT","1"
"24260","21:26:20.082","0x16C0869","unknown:0x16C0869","1"
"24268.1","21:26:20.090","0x10007","WAIT","1"
"24272","21:26:20.094","0x16C0869","unknown:0x16C0869","1"
"25264","21:26:21.086","0x10007","WAIT","1"
"25268","21:26:21.090","0x16C0869","unknown:0x16C0869","1"
"26280","21:26:22.102","0x10007","WAIT","1"
"26284","21:26:22.106","0x16C0869","unknown:0x16C0869","1"
"28280","21:26:24.102","0x10007","WAIT","1"
"28284","21:26:24.106","0x16C0869","unknown:0x16C0869","1"
"30288","21:26:26.110","0x10007","WAIT","1"
"30292.1","21:26:26.114","0x16C0869","unknown:0x16C0869","1"
"31300","21:26:27.122","0x10007","WAIT","1"
"31304.1","21:26:27.126","0x16C0869","unknown:0x16C0869","1"
"31324","21:26:27.146","0x10007","WAIT","1"
"31328","21:26:27.150","0x16C0869","unknown:0x16C0869","1"
"32332.1","21:26:28.154","0x10007","WAIT","1"
"32336.2","21:26:28.158","0x16C0869","unknown:0x16C0869","1"
"32348","21:26:28.170","0x10007","WAIT","1"
"32352","21:26:28.174","0x16C0869","unknown:0x16C0869","1"
"33292","21:26:29.114","0x10007","WAIT","1"
"33296.1","21:26:29.118","0x16C0869","unknown:0x16C0869","1"
"34312","21:26:30.134","0x10007","WAIT","1"
"34316","21:26:30.138","0x16C0869","unknown:0x16C0869","1"
"35328","21:26:31.150","0x10007","WAIT","1"
"35332.1","21:26:31.154","0x16C0869","unknown:0x16C0869","1"
"36336","21:26:32.158","0x10007","WAIT","1"
"36340.1","21:26:32.162","0x16C0869","unknown:0x16C0869","1"
"36360","21:26:32.182","0x10007","WAIT","1"
"36364","21:26:32.186","0x16C0869","unknown:0x16C0869","1"
"37352","21:26:33.174","0x10007","WAIT","1"
"37356.1","21:26:33.178","0x16C0869","unknown:0x16C0869","1"
"38360.1","21:26:34.182","0x10007","WAIT","1"
"38364","21:26:34.186","0x16C0869","unknown:0x16C0869","1"
"40356.1","21:26:36.178","0x10007","WAIT","1"
"40364","21:26:36.186","0x16C0869","unknown:0x16C0869","1"
"41364.1","21:26:37.186","0x10007","WAIT","1"
"41368","21:26:37.190","0x16C0869","unknown:0x16C0869","1"
"41384","21:26:37.206","0x10007","WAIT","1"
"41388","21:26:37.210","0x16C0869","unknown:0x16C0869","1"
"42384.1","21:26:38.206","0x10007","WAIT","1"
"42388.1","21:26:38.210","0x16C0869","unknown:0x16C0869","1"
"43412","21:26:39.234","0x10007","WAIT","1"
"43416.1","21:26:39.238","0x16C0869","unknown:0x16C0869","1"
"44388.1","21:26:40.210","0x10007","WAIT","1"
"44392","21:26:40.214","0x16C0869","unknown:0x16C0869","1"
"45420","21:26:41.242","0x10007","WAIT","1"
"45424","21:26:41.246","0x16C0869","unknown:0x16C0869","1"
"46396","21:26:42.218","0x10007","WAIT","1"
"46400","21:26:42.222","0x16C0869","unknown:0x16C0869","1"
"46412.1","21:26:42.234","0x10007","WAIT","1"
"46416.1","21:26:42.238","0x16C0869","unknown:0x16C0869","1"
"47428","21:26:43.250","0x10007","WAIT","1"
"47432.1","21:26:43.254","0x16C0869","unknown:0x16C0869","1"
"48416","21:26:44.238","0x10007","WAIT","1"
"48420.2","21:26:44.242","0x16C0869","unknown:0x16C0869","1"
"48436.1","21:26:44.258","0x10007","WAIT","1"
"48440","21:26:44.262","0x16C0869","unknown:0x16C0869","1"
"49440","21:26:45.262","0x10007","WAIT","1"
"49444.1","21:26:45.266","0x16C0869","unknown:0x16C0869","1"
"51472","21:26:47.294","0x10007","WAIT","1"
"51476","21:26:47.298","0x16C0869","unknown:0x16C0869","1"
"51484","21:26:47.306","0x10007","WAIT","1"
"51488","21:26:47.310","0x16C0869","unknown:0x16C0869","1"
"52472","21:26:48.294","0x10007","WAIT","1"
"52476","21:26:48.298","0x16C0869","unknown:0x16C0869","1"
"52500.1","21:26:48.322","0x10007","WAIT","1"
"52508.1","21:26:48.330","0x16C0869","unknown:0x16C0869","1"
"53556","21:26:49.378","0x10007","WAIT","1"
"53560.1","21:26:49.382","0x16C0869","unknown:0x16C0869","1"
"54564","21:26:50.386","0x10007","WAIT","1"
"54568","21:26:50.390","0x16C0869","unknown:0x16C0869","1"
"55576.1","21:26:51.398","0x10007","WAIT","1"
"55580.1","21:26:51.402","0x16C0869","unknown:0x16C0869","1"
"55600.1","21:26:51.422","0x10007","WAIT","1"
"55604.2","21:26:51.426","0x16C0869","unknown:0x16C0869","1"
"56608.1","21:26:52.430","0x10007","WAIT","1"
"56612","21:26:52.434","0x16C0869","unknown:0x16C0869","1"
"57596","21:26:53.418","0x10007","WAIT","1"
"57600.3","21:26:53.422","0x16C0869","unknown:0x16C0869","1"
"57624","21:26:53.446","0x10007","WAIT","1"
"57628.1","21:26:53.450","0x16C0869","unknown:0x16C0869","1"
"58624.1","21:26:54.446","0x10007","WAIT","1"
"58628.1","21:26:54.450","0x16C0869","unknown:0x16C0869","1"
"59636","21:26:55.458","0x10007","WAIT","1"
"59640","21:26:55.462","0x16C0869","unknown:0x16C0869","1"
"59660.1","21:26:55.482","0x10007","WAIT","1"
"59664.2","21:26:55.486","0x16C0869","unknown:0x16C0869","1"
"61200.1","21:26:57.022","0x10007","WAIT","1"
"61204","21:26:57.026","0x16C0869","unknown:0x16C0869","1"
"64264","21:27:00.086","0x10007","WAIT","1"
"64268","21:27:00.090","0x16C0869","unknown:0x16C0869","1"
"64296.3","21:27:00.118","0x10007","WAIT","1"
"64300","21:27:00.122","0x16C0869","unknown:0x16C0869","1"
"66344.1","21:27:02.166","0x10007","WAIT","1"
"66348","21:27:02.170","0x16C0869","unknown:0x16C0869","1"
"66356","21:27:02.178","0x10007","WAIT","1"
"66360","21:27:02.182","0x16C0869","unknown:0x16C0869","1"
"67324.1","21:27:03.146","0x10007","WAIT","1"
"67328","21:27:03.150","0x16C0869","unknown:0x16C0869","1"
"68324","21:27:04.146","0x10007","WAIT","1"
"68328.1","21:27:04.150","0x16C0869","unknown:0x16C0869","1"
"69336","21:27:05.158","0x10007","WAIT","1"
"69340","21:27:05.162","0x16C0869","unknown:0x16C0869","1"
"70356.1","21:27:06.178","0x10007","WAIT","1"
"70360","21:27:06.182","0x16C0869","unknown:0x16C0869","1"
"70380.1","21:27:06.202","0x10007","WAIT","1"
"70384.1","21:27:06.206","0x16C0869","unknown:0x16C0869","1"
"71388","21:27:07.210","0x10007","WAIT","1"
"71392.1","21:27:07.214","0x16C0869","unknown:0x16C0869","1"
"72428.1","21:27:08.250","0x10007","WAIT","1"
"72432","21:27:08.254","0x16C0869","unknown:0x16C0869","1"
"73424","21:27:09.246","0x10007","WAIT","1"
"73428","21:27:09.250","0x16C0869","unknown:0x16C0869","1"
"73444.1","21:27:09.266","0x10007","WAIT","1"
"73448","21:27:09.270","0x16C0869","unknown:0x16C0869","1"
"76436","21:27:12.258","0x10007","WAIT","1"
"76440","21:27:12.262","0x16C0869","unknown:0x16C0869","1"
"76452.1","21:27:12.274","0x10007","WAIT","1"
"76456.1","21:27:12.278","0x16C0869","unknown:0x16C0869","1"
"77436.1","21:27:13.258","0x10007","WAIT","1"
"77444","21:27:13.266","0x16C0869","unknown:0x16C0869","1"
"77464.1","21:27:13.286","0x10007","WAIT","1"
"77468","21:27:13.290","0x16C0869","unknown:0x16C0869","1"
"78444","21:27:14.266","0x10007","WAIT","1"
"78448.1","21:27:14.270","0x16C0869","unknown:0x16C0869","1"
"78464","21:27:14.286","0x10007","WAIT","1"
"78468","21:27:14.290","0x16C0869","unknown:0x16C0869","1"
"80480.1","21:27:16.302","0x10007","WAIT","1"
"80484.1","21:27:16.306","0x16C0869","unknown:0x16C0869","1"
"80500.1","21:27:16.322","0x10007","WAIT","1"
"80504","21:27:16.326","0x16C0869","unknown:0x16C0869","1"
"81456","21:27:17.278","0x10007","WAIT","1"
"81460.2","21:27:17.282","0x16C0869","unknown:0x16C0869","1"
"82492.1","21:27:18.314","0x10007","WAIT","1"
"82500","21:27:18.322","0x16C0869","unknown:0x16C0869","1"
"83528","21:27:19.350","0x10007","WAIT","1"
"83532.1","21:27:19.354","0x16C0869","unknown:0x16C0869","1"
"84528.1","21:27:20.350","0x10007","WAIT","1"
